country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Eastern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA
Eastern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA
Eastern and South-Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA
Eastern and South-Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA
Eastern and South-Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3238.8308,0.316949,99.2585
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3238.8308,0.316949,99.2585
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,3238.8308,0.316949,99.2585
Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3452.4268,NA,NA
Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3452.4268,NA,NA
Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3452.4268,NA,NA
Europe and Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA
Europe and Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA
Europe and Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA
Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3360.3848,0.19506416,112.658
Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3360.3848,0.19506416,112.658
Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3360.3848,0.19506416,112.658
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3064.7148,4.229261,128.2164
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3064.7148,4.229261,128.2164
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,3064.7148,4.229261,128.2164
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3573.1267,0.24379632,109.5487
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3573.1267,0.24379632,109.5487
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3573.1267,0.24379632,109.5487
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3389.062,0.5942829,91.4334
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3389.062,0.5942829,91.4334
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3389.062,0.5942829,91.4334
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,2291.1282,39.86111,99.1125
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,2291.1282,39.86111,99.1125
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,2291.1282,39.86111,99.1125
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA
Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3844.27,0.08230577,109.2785
Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3844.27,0.08230577,109.2785
Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3844.27,0.08230577,109.2785
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2670.09,1.2131146,105.7584
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,2670.09,1.2131146,105.7584
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,2670.09,1.2131146,105.7584
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3262.841,NA,114.0495
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3262.841,NA,114.0495
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3262.841,NA,114.0495
Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,NA,NA,NA
Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA
Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,NA,NA,NA
Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA
Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3259.167,0.44409683,95.6175
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3259.167,0.44409683,95.6175
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3259.167,0.44409683,95.6175
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3326.0994,1.097914,96.1278
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3326.0994,1.097914,96.1278
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3326.0994,1.097914,96.1278
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3329.8694,0.110051446,115.8772
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3329.8694,0.110051446,115.8772
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3329.8694,0.110051446,115.8772
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,3389.8928,2.1009586,NA
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,3389.8928,2.1009586,NA
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3389.8928,2.1009586,NA
Melanesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA
Melanesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,NA,NA,NA
Melanesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA
Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,96.6157
Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,96.6157
Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,NA,NA,96.6157
Middle Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,NA
Middle Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA
Middle Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3645.8337,2.493799,99.3447
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,3645.8337,2.493799,99.3447
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3645.8337,2.493799,99.3447
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,3208.1829,9.718575,NA
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,3208.1829,9.718575,NA
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3208.1829,9.718575,NA
Netherlands (Kingdom of the),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA
Netherlands (Kingdom of the),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA
Netherlands (Kingdom of the),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA
North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3581.5764,3.9403512,114.7372
North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3581.5764,3.9403512,114.7372
North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3581.5764,3.9403512,114.7372
Northern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA
Northern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA
Northern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA
Northern Africa and Western Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA
Northern Africa and Western Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA
Northern Africa and Western Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA
Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA
Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA
Northern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA
Northern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA
Northern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA
