Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Nauru,17.3,NA,NA,NA,12754.19,62.11,11875,NA,East Asia & Pacific,High income,0.78,0.32,0.34,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,3208.18,NA,9.72,FALSE,None
NE Asia,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.48,NA,FALSE,None
Nepal,40.5,5.3,1.6,2022-2024,1382.33,70.35,29694614,NA,South Asia,Lower middle income,0.67,0.3,0.24,42,5232322,50.8,25.1,23.3,5.37,17,34.1,39.6,5.74,3012.81,114.66,2.44,FALSE,None
Netherlands,12,2.5,NA,2022-2024,64572.01,81.91,17877117,NA,Europe & Central Asia,High income,0,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3468.39,100.2,0.1,FALSE,None
Netherlands (Kingdom of the),0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Netherlands Antilles,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3142.38,NA,NA,FALSE,None
New Caledonia,8.9,4.9,NA,2022-2024,NA,78.77,289870,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2985.47,NA,NA,FALSE,None
New Caledonia (France),6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.52,NA,FALSE,None
New Zealand,13,2.5,NA,2022-2024,48654.9,83,5245000,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3180.15,92.6,NA,FALSE,None
Nicaragua,35.2,NA,NA,NA,2609.44,74.95,6823613,NA,Latin America & Caribbean,Lower middle income,0.57,0.46,0.24,4,913058,44.7,NA,NA,NA,NA,NA,NA,NA,2781.3,108.79,6.57,FALSE,None
Niger,84.7,12.9,3.4,2022-2024,638.34,61.18,26159867,NA,Sub-Saharan Africa,Low income,0.98,0.33,0.68,79,6114285,87.9,45.7,NA,NA,NA,NA,NA,NA,2724.26,111.45,60.49,TRUE,"2005, 2010, 2018-2020"
Nigeria,96.6,19.9,45.4,2022-2024,1596.64,54.46,227882945,NA,Sub-Saharan Africa,Lower middle income,0.96,0.34,0.6,62,12856827,65.8,31.4,NA,NA,NA,74,98.9,NA,2451.69,106.1,41.82,TRUE,2016-2018
North Africa,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.13,NA,FALSE,None
North America,5.4,NA,NA,NA,79326.91,78.73,376954413,1,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3573.37,NA,NA,FALSE,None
