iso3,year,undernourishment,vulnerability,ln_gdp_pcap
CMR,2017,5.4,0.48239045726342,7.31060999478726
CAN,2017,2.5,0.283117921729112,10.717294252517275
CAF,2017,26.7,0.585537470561245,6.0691753665444095
TCD,2017,26.1,0.651307465368957,6.750471095323443
CHL,2017,3.3,0.339239617375445,9.607767167421903
CHN,2017,2.5,0.38554107240778,9.102719139166227
COL,2017,4.4,0.418251585088095,8.77640361281022
COM,2017,13.5,0.526558916744108,7.261172283102494
CRI,2017,2.5,0.38337589719052,9.4187430303887
HRV,2017,2.5,0.374361190002342,9.539833385274598
CYP,2017,2.5,0.35422872956012,10.192306112730058
CZE,2017,2.5,0.259238382898872,9.948135704318434
DNK,2017,2.5,0.340104009039134,10.959914965244344
DJI,2017,12.7,0.50213025548685,7.870530742976865
DMA,2017,4.9,0.437378895814042,9.01489089578227
DOM,2017,6.7,0.425903278188175,8.910952144496719
ECU,2017,9.5,0.453879578819271,8.737664767859222
SLV,2017,8.4,0.420082615488213,8.29906870194694
EST,2017,2.5,0.336783287963729,9.945182238934962
SWZ,2017,16.3,0.460535486729597,8.256864638069175
ETH,2017,13.0,0.55169499760372,6.614232762861615
FJI,2017,7.5,0.489497466693817,8.670231506153632
FIN,2017,2.5,0.28447535430661,10.738243175594528
FRA,2017,2.5,0.302696238237504,10.563263109278209
GAB,2017,15.3,0.435930868054193,8.842421556445338
GEO,2017,6.6,0.394425791391557,8.393612597077144
DEU,2017,2.5,0.300362551691015,10.726052048572503
GHA,2017,9.5,0.4748216520246,7.607026979528979
GRC,2017,2.5,0.339289253450651,9.832635436560311
GTM,2017,14.6,0.437499187303809,8.372166513372045
GIN,2017,14.0,0.523162813597985,6.725752017556182
GNB,2017,19.8,0.627156256598803,6.66329001005566
GUY,2017,3.4,0.469287482236504,8.728857514776253
HTI,2017,38.7,0.512682848633233,7.2408213295931
HND,2017,13.7,0.455291195108292,7.7886292385558455
HUN,2017,2.5,0.354543568319364,9.598060078716424
ISL,2017,2.5,0.327577649919003,11.18456234683702
IND,2017,11.6,0.497856725598291,7.575638333608506
IDN,2017,6.6,0.465266357459931,8.242462424035642
IRQ,2017,16.1,0.439173526512408,8.467852650962367
IRL,2017,2.5,0.312869720113787,11.187169115389775
ISR,2017,2.5,0.30845632487342,10.624698995872402
ITA,2017,2.5,0.346383542364136,10.399527880336423
JAM,2017,7.6,0.431264094678412,8.567755751139451
JOR,2017,8.0,0.390545095249026,8.31032061873011
KAZ,2017,2.5,0.31397322094425,9.098635793899772
KEN,2017,22.2,0.510521705393835,7.419071465787412
KIR,2017,3.1,0.583760194685839,7.524588871414935
KWT,2017,2.5,0.363982442671131,10.276692987323672
LVA,2017,2.5,0.366032801273666,9.624599752424531
LBN,2017,5.7,0.409978046811551,9.06047177673725
LBR,2017,35.1,0.561443477991704,6.550035640579269
LBY,2017,11.0,0.42380222264703,9.206917758240078
LTU,2017,2.5,0.367645860634219,9.729143154911057
LUX,2017,2.5,0.30327376283152,11.609990593017372
MDG,2017,35.0,0.557930609748016,6.198208047179571
MWI,2017,16.7,0.557586126597229,6.206111470831916
MYS,2017,3.3,0.381047159262423,9.196499838766826
MLI,2017,4.5,0.600515731250375,6.8287743334396165
MLT,2017,2.5,0.332432346221006,10.319471949603294
MRT,2017,6.7,0.561639620698017,7.387092720652573
MUS,2017,7.2,0.43747742174497,9.291153685009531
MEX,2017,3.7,0.384372944100668,9.174638390263155
MNG,2017,8.1,0.365912821041466,8.201376927961304
MNE,2017,2.5,0.37140158002766,8.956527438973701
MAR,2017,3.7,0.385973211813743,8.100624651121448
MOZ,2017,41.6,0.494970818553045,6.154727646128334
MMR,2017,3.8,0.491211791239889,7.148992090245294
NAM,2017,20.6,0.45721279263477,8.545578630435498
NPL,2017,5.9,0.505137399429765,6.941464436250713
NZL,2017,2.5,0.303917581081074,10.66780087198506
NIC,2017,16.3,0.444254072773178,7.6882784329551965
NER,2017,12.0,0.632401411257326,6.257292287626142
NGA,2017,10.8,0.486859524765648,7.53707849431141
MKD,2017,3.2,0.36930758109731,8.69203641947534
NOR,2017,2.5,0.256034605455785,11.24022183221934
OMN,2017,7.2,0.419152903592648,9.788080414875003
PAK,2017,11.5,0.518007728910123,7.3259619311861925
PAN,2017,6.7,0.404233803652863,9.661073878391196
PNG,2017,28.2,0.529891286167263,7.815112348205567
PRY,2017,2.6,0.376131617185636,8.72457592951744
PER,2017,6.2,0.419130102748907,8.815246338461698
PHL,2017,9.7,0.470245686455201,8.01899459335103
POL,2017,2.5,0.306269623397326,9.540603480296335
PRT,2017,2.5,0.323536483262044,9.973124815946102
ROU,2017,2.5,0.412524160505668,9.280610765819814
RUS,2017,2.5,0.324395299099424,9.274151730601806
RWA,2017,33.7,0.573362251261024,6.6310803605809605
WSM,2017,5.1,0.498362483979893,8.368134748698628
STP,2017,18.3,0.547667141877521,7.349741805377325
SAU,2017,2.5,0.41821642261512,10.082858540412923
SEN,2017,8.9,0.538785733145062,7.212888086146427
SRB,2017,2.5,0.405534117204153,8.78692051853683
SYC,2017,3.7,0.434597643282396,9.76883354093278
SLE,2017,24.5,0.604616790218206,6.658249795085124
SVN,2017,2.5,0.316206485028302,10.056340721215133
SLB,2017,18.0,0.623685768180241,7.670230112788508
ZAF,2017,6.4,0.395716292250498,8.797599119196931
ESP,2017,2.5,0.303894974446852,10.253487256138124
LKA,2017,4.1,0.484609200510094,8.389107124501365
SDN,2017,9.8,0.606440467405254,6.873687171646692
SUR,2017,9.3,0.401973249980109,8.707734421536669
SWE,2017,2.5,0.315571984170046,10.883707721247013
CHE,2017,2.5,0.258394163070271,11.317571883590201
SYR,2017,14.2,0.472122472390953,6.74700185506668
TJK,2017,13.9,0.361103195652859,6.720771447837426
THA,2017,7.9,0.436325205146463,8.766096777665318
TLS,2017,15.4,0.547472886131673,7.143757940036006
TGO,2017,20.6,0.504458496691801,6.675527449297096
TTO,2017,7.0,0.367313506615646,9.774439908674658
TUN,2017,2.8,0.370562528743485,8.193961996499317
TKM,2017,3.4,0.371545487290886,8.670511810150751
UGA,2017,35.4,0.541093205618046,6.640161194803116
UKR,2017,2.5,0.367912802404119,7.86491444179836
ARE,2017,3.5,0.399242368566057,10.653501519934048
URY,2017,2.5,0.390644651728059,9.861865772736843
UZB,2017,2.5,0.350539693270788,7.691932636655744
VUT,2017,7.4,0.585403363801086,8.058283178360886
VNM,2017,7.7,0.470672387799729,7.991629467194556
ZMB,2017,33.4,0.495387105042532,7.302136367864217
ZWE,2017,32.8,0.518045813144562,8.145574860783265
AFG,2018,21.3,0.591230783539058,6.197130697311605
ALB,2018,4.3,0.407147343842414,8.58774276029073
DZA,2018,2.5,0.379167030575157,8.428844984934633
ARG,2018,3.5,0.38331499562736,9.371846779892264
ARM,2018,2.5,0.367643118683015,8.341888309605302
